YEAR,QUARTER,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP_NEW,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,DISTANCE,RAMP_TO_RAMP,AIR_TIME,NET_INCOME,OP_PROFIT_LOSS,TRANS_REV_PAX,MAIL_REV,TOTAL_PROPERTY,PROP_FREIGHT,PROP_BAG,TOTAL_CHARTER,CHARTER_PAX,CHARTER_PROP,TOTAL_MISC_REV,RES_CANCEL_FEES,MISC_OP_REV,PUB_SVC_REVENUE,TRANS_REVENUE,OP_REVENUES,FLYING_OPS,MAINTENANCE,PAX_SERVICE,AIRCFT_SERVICES,PROMOTION_SALES,GENERAL_ADMIN,GENERAL_SERVICES,DEPREC_AMORT,TRANS_EXPENSES,OP_EXPENSES,INTEREST_LONG_DEBT,INTEREST_EXP_OTH,FOREIGN_EX_GAINS,CAP_GAINS_PROP,CAP_GAINS_OTHER,OTHER_INCOME_NET,NON_OP_INCOME,INCOME_PRE_TAX,INCOME_TAX,INCOME_BEFORE_OTH,DISCONT_OPS,EXTRA_ITEMS,INCOME_TAX_EXTRA,INCOME_TAX_CREDITS,ACCTG_CHANGES,CARRIER_GROUP,ASM,RPM,LOAD_FACTOR,YIELD,RASM,CASM,PRASM
1995,1,AA,19805,American Airlines Inc.,0A050,D,AA,American Airlines Inc.,3,182935,179560,7378490128,26436764,16498746,170774107,123146896,3137396,27333248,23029874,9679000,151420000,2244721000,28530000,55160000,50664000,4496000,1244000,1244000,,,,12471000,,292108000,2634234000,646663000,265351000,278715000,483191000,449198000,137381000,,210156000,12159000,2482814000,-121695000,3495000,,-2721000,,-2368000,-123289000,28131000,18452000,9679000,,,,,,3,82942597626544,51763099705416,0.62,0.0000000434,0.0000000318,0.0000000299,0.0000000271
1995,1,AA,19805,American Airlines Inc.,10049,A,AA,American Airlines Inc.,3,5236,5211,413359601,1056026,668818,83273355,7862167,944031,2688305,2541359,-389000,6654000,317143000,5919000,35057000,33968000,1089000,,,,,,1939000,,36640000,396698000,87325000,28087000,62953000,88198000,69746000,16061000,,33133000,4541000,390044000,-7172000,206000,,-160000,,-126000,-7252000,-598000,-209000,-389000,,,,,,3,996921280806,631384925358,0.63,0.0000005023,0.0000003979,0.0000003912,0.0000003181
1995,1,AA,19805,American Airlines Inc.,10050,L,AA,American Airlines Inc.,3,22588,22555,1154661061,4083745,2561633,57334870,4933879,926605,4171732,3598559,43018000,86125000,513321000,2184000,28120000,25946000,2174000,2052000,2052000,,,,3359000,,22539000,571575000,131081000,43661000,63629000,91343000,98496000,20002000,,34622000,2616000,485450000,-19722000,566000,,-441000,,-346000,-19943000,66182000,23164000,43018000,,,,,,3,3784018535725,2373621945965,0.63,0.0000002163,0.0000001510,0.0000001283,0.0000001357
1995,1,AA,19805,American Airlines Inc.,10052,P,AA,American Airlines Inc.,3,514,513,51659100,124805,81273,10128433,911108,118507,327158,312965,4198000,7235000,64071000,1036000,8419000,8189000,230000,,,,,,156000,,4721000,78403000,12736000,4408000,10820000,11486000,18382000,3446000,,9403000,487000,71168000,-767000,22000,,-17000,,-14000,-776000,6459000,2261000,4198000,,,,,,3,14790266135,9631419411,0.65,0.0000066523,0.0000053010,0.0000048118,0.0000043320
1995,1,AS,19930,Alaska Airlines Inc.,6031,D,AS,Alaska Airlines Inc.,3,31030,30460,1049725280,4008219,2153889,28915381,12231913,468931,3594173,3099938,-13786000,-16321000,171649000,4899000,12504000,12017000,487000,3357000,2031000,1326000,,1383000,3484000,310000,19464000,217050000,87404000,19471000,24785000,41220000,33017000,8423000,,13425000,5626000,233371000,-9608000,-191000,,-13000,,1861000,-7951000,-24272000,-10486000,-13786000,,,,,,3,1879578143889,1010025322659,0.54,0.0000001699,0.0000001155,0.0000001242,0.0000000913
1995,1,AS,19930,Alaska Airlines Inc.,16031,L,AS,Alaska Airlines Inc.,3,1745,1743,61193110,244020,165140,1223320,5003,81098,291827,258959,823000,2120000,20330000,1000,426000,370000,56000,,,,,158000,398000,,,21313000,6681000,1694000,2058000,2923000,3874000,711000,,1252000,,19193000,-811000,-16000,,-1000,,157000,-671000,1449000,626000,823000,,,,,,3,19789533960,13392523720,0.68,0.0000015180,0.0000010770,0.0000009699,0.0000010273
1995,1,DL,19790,Delta Air Lines Inc.,1260,D,DL,Delta Air Lines Inc.,3,229457,226166,9176742175,35564686,20425350,177727826,202286755,3732994,24812700,20355928,51625000,130043000,2214769000,35221000,51318000,48434000,2884000,2469000,2469000,,,,30721000,,53669000,2388167000,704987000,205050000,223841000,431724000,497678000,71379000,,115770000,7695000,2258124000,-48638000,-1049000,,-3338000,,12938000,-40087000,89956000,38331000,51625000,,,,,,3,132762759449884,76247708997900,0.57,0.0000000290,0.0000000180,0.0000000170,0.0000000167
1995,1,DL,19790,Delta Air Lines Inc.,10260,L,DL,Delta Air Lines Inc.,3,3379,3351,148948610,561176,308845,6558900,513563,171879,567631,497618,-638000,-436000,45749000,336000,2723000,2459000,264000,81000,81000,,,,46000,,3621000,52556000,15540000,5604000,5558000,7832000,8792000,1498000,,3280000,4888000,52992000,-986000,-23000,,-47000,,461000,-595000,-1031000,-393000,-638000,,,,,,3,96454369704,53083969755,0.55,0.0000008618,0.0000005449,0.0000005494,0.0000004743
1995,1,DL,19790,Delta Air Lines Inc.,10261,A,DL,Delta Air Lines Inc.,3,4975,4938,359886345,1080129,765613,54344406,6060040,1095219,2561336,2423873,-49436000,-73804000,348337000,4346000,34420000,33189000,1231000,312000,312000,,,,838000,,33715000,421968000,137535000,38882000,72851000,106359000,70320000,14736000,,23536000,31553000,495772000,-9689000,-217000,,-555000,,4531000,-5930000,-79734000,-30298000,-49436000,,,,,,3,1182977803251,838513904247,0.71,0.0000004154,0.0000003567,0.0000004191,0.0000002945
1995,1,DL,19790,Delta Air Lines Inc.,10262,P,DL,Delta Air Lines Inc.,3,844,830,74340320,211093,131373,11277944,658433,230808,542841,520839,-12777000,-19287000,73200000,551000,10157000,9970000,187000,,,,,,84000,,603000,84595000,38949000,7621000,13006000,14079000,21975000,3308000,,4596000,348000,103882000,-2176000,-49000,,-111000,,1017000,-1319000,-20606000,-7829000,-12777000,,,,,,3,48721953144,30321939384,0.62,0.0000024141,0.0000017363,0.0000021321,0.0000015024
