UNIQUE_CARRIER_NAME,Date,Open,High,Low,Close,Adj Close,Volume
Alaska Airlines Inc.,1/1/1985,3.78,4.59,3.56,4.53,3.80,7092800
Alaska Airlines Inc.,2/1/1985,4.50,4.91,4.28,4.78,4.02,10169200
Alaska Airlines Inc.,3/1/1985,4.75,4.94,4.56,4.91,4.13,4587200
Alaska Airlines Inc.,4/1/1985,4.94,5.56,4.75,5.13,4.31,7371600
Alaska Airlines Inc.,5/1/1985,5.13,5.72,5.06,5.50,4.63,5803200
Alaska Airlines Inc.,6/1/1985,5.44,6.31,5.41,5.81,4.90,4134000
Alaska Airlines Inc.,7/1/1985,5.81,6.59,5.78,6.25,5.26,5468000
Alaska Airlines Inc.,8/1/1985,6.31,6.53,5.22,5.38,4.54,8791200
Alaska Airlines Inc.,9/1/1985,5.38,5.47,4.84,4.91,4.14,7941600
Alaska Airlines Inc.,10/1/1985,4.88,5.44,4.38,4.81,4.06,12546800
Alaska Airlines Inc.,11/1/1985,4.91,5.22,4.59,4.81,4.07,10801600
Alaska Airlines Inc.,12/1/1985,4.81,5.13,3.94,4.03,3.41,12377200
Alaska Airlines Inc.,1/1/1986,4.03,4.63,3.81,4.34,3.67,14326800
Alaska Airlines Inc.,2/1/1986,4.34,4.97,4.28,4.97,4.21,9114000
Alaska Airlines Inc.,3/1/1986,4.97,5.69,4.97,5.19,4.40,8802400
Alaska Airlines Inc.,4/1/1986,5.25,5.28,4.59,4.69,3.97,8142800
Alaska Airlines Inc.,5/1/1986,4.72,5.06,4.56,4.81,4.09,4510000
Alaska Airlines Inc.,6/1/1986,4.81,4.91,3.97,4.09,3.48,7495600
Alaska Airlines Inc.,7/1/1986,4.09,4.19,3.56,3.91,3.32,7627200
Alaska Airlines Inc.,8/1/1986,3.91,4.66,3.63,4.31,3.67,6890400
Alaska Airlines Inc.,9/1/1986,4.34,5.09,4.22,4.50,3.83,9919600
Alaska Airlines Inc.,10/1/1986,4.59,5.25,4.53,5.09,4.34,10357600
Alaska Airlines Inc.,11/1/1986,5.09,5.13,4.44,4.66,3.97,4282000
Alaska Airlines Inc.,12/1/1986,4.63,5.22,4.63,5.00,4.27,7264000
Alaska Airlines Inc.,1/1/1987,5.03,6.00,5.00,5.91,5.04,17113600
Alaska Airlines Inc.,2/1/1987,5.91,6.97,5.75,6.63,5.66,12574800
Alaska Airlines Inc.,3/1/1987,6.56,6.84,6.00,6.06,5.18,12788000
Alaska Airlines Inc.,4/1/1987,5.94,6.25,4.56,5.06,4.33,9318400
Alaska Airlines Inc.,5/1/1987,5.09,5.19,4.56,4.94,4.23,8335600
Alaska Airlines Inc.,6/1/1987,4.94,5.66,4.84,5.09,4.36,8278800
Alaska Airlines Inc.,7/1/1987,5.03,6.00,4.88,5.88,5.03,8416800
Alaska Airlines Inc.,8/1/1987,5.88,5.88,5.34,5.59,4.80,6573200
Alaska Airlines Inc.,9/1/1987,5.63,5.63,4.88,5.00,4.29,6671200
Alaska Airlines Inc.,10/1/1987,5.03,5.09,3.06,3.38,2.90,11442400
Alaska Airlines Inc.,11/1/1987,3.44,3.78,3.16,3.59,3.08,6282800
Alaska Airlines Inc.,12/1/1987,3.56,3.81,3.19,3.38,2.90,6880800
Alaska Airlines Inc.,1/1/1988,3.38,3.94,3.38,3.81,3.27,7676000
Alaska Airlines Inc.,2/1/1988,3.84,4.47,3.50,4.38,3.76,8901600
Alaska Airlines Inc.,3/1/1988,4.38,4.53,4.09,4.22,3.63,10250400
Alaska Airlines Inc.,4/1/1988,4.22,4.97,3.97,4.72,4.06,9834000
Alaska Airlines Inc.,5/1/1988,4.75,4.94,4.16,4.31,3.72,7954000
Alaska Airlines Inc.,6/1/1988,4.34,4.84,4.25,4.78,4.12,10408400
Alaska Airlines Inc.,7/1/1988,4.78,4.91,4.34,4.53,3.91,5746000
Alaska Airlines Inc.,8/1/1988,4.56,4.94,4.41,4.81,4.16,8843600
Alaska Airlines Inc.,9/1/1988,4.81,5.38,4.69,5.22,4.51,13499200
Alaska Airlines Inc.,10/1/1988,5.22,5.63,5.09,5.31,4.59,6688800
Alaska Airlines Inc.,11/1/1988,5.31,5.41,4.75,4.97,4.30,3910400
Alaska Airlines Inc.,12/1/1988,4.97,5.16,4.84,5.00,4.33,4260000
Alaska Airlines Inc.,1/1/1989,5.06,5.72,4.84,5.69,4.92,7547600
Alaska Airlines Inc.,2/1/1989,5.69,6.28,5.50,5.97,5.18,9221600
Alaska Airlines Inc.,3/1/1989,6.00,6.63,5.81,6.28,5.45,14557600
Alaska Airlines Inc.,4/1/1989,6.28,7.06,6.03,6.91,5.99,9847200
Alaska Airlines Inc.,5/1/1989,6.97,7.06,6.63,6.75,5.87,7254400
Alaska Airlines Inc.,6/1/1989,6.75,7.50,6.63,6.81,5.92,8374400
