YEAR,QUARTER,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,CARRIER_GROUP_NEW,Open,High,Low,Close,Adj Close,Volume
1995,1,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,3.75,4.1875,3.375,3.96875,3.568943,34114400
1995,2,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,3.90625,4.59375,3.625,4.5625,4.10288,38378800
1995,3,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,4.5625,5.34375,3.5,3.9375,3.540842,53847200
1995,4,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,3.875,4.71875,3.40625,4.0625,3.65325,42737600
1996,1,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,4.0625,6.9375,3.96875,6.6875,6.013811,78786000
1996,2,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,6.71875,7.6875,6.0625,6.84375,6.154319,57680000
1996,3,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,6.875,7.03125,4.78125,5.34375,4.805427,66792000
1996,4,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,5.34375,6.28125,5.15625,5.25,4.721122,40092400
1997,1,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,5.28125,6.90625,5.1875,6.40625,5.760893,55950000
1997,2,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,6.34375,6.5625,5.75,6.40625,5.760893,45251600
1997,3,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,6.375,8.328125,6.3125,8.21875,7.390803,51100800
1997,4,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,8.234375,10.03125,7.5,9.6875,8.711594,76335200
1998,1,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,9.875,15.25,9.5625,13.546875,12.182178,109868400
1998,2,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,13.59375,15.640625,10.78125,13.640625,12.266487,100652800
1998,3,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,13.703125,15.296875,8.15625,8.515625,7.657771,86599200
1998,4,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,8.28125,11.453125,6.5,11.0625,9.94808,111520800
1999,1,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,11.125,13.671875,10.65625,11.875,10.678727,90221200
1999,2,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,11.9375,12.984375,9.5,10.4375,9.386041,62934800
1999,3,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,10.375,11.65625,9.5,10.171875,9.147174,47506400
1999,4,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,10.15625,10.953125,8.296875,8.78125,7.896639,58918400
2000,1,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,8.875,9.21875,6.3125,7.515625,6.758512,85395600
2000,2,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,7.5,8.296875,6.609375,6.78125,6.098114,64944400
2000,3,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,6.796875,7.234375,5.78125,6,5.395567,48521200
2000,4,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,5.96875,7.9375,4.875,7.4375,6.688256,56653600
2001,1,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,7.375,8.8125,6.1,6.425,5.777754,48223600
2001,2,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,6.425,7.375,6.15,7.225,6.497163,30878800
2001,3,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,7.1625,8.415,4.35,4.9925,4.489561,53594000
2001,4,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,4.9925,7.775,4.815,7.275,6.542126,86691200
2002,1,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,7.2875,8.475,6.9875,8.3225,7.484102,53407200
2002,2,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,8.3,8.3075,6.1875,6.525,5.86768,43780800
2002,3,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,6.5275,6.8075,4.06,4.425,3.979231,59046000
2002,4,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,4.4,5.93,3.415,5.4125,4.867251,85185200
2003,1,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,5.455,6.0875,3.82,3.915,3.520608,94304400
2003,2,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,3.9775,5.495,3.8725,5.3625,4.822289,70719200
2003,3,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,5.3625,7.44,5.205,6.955,6.254362,104000800
2003,4,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,6.9875,7.965,6.19,6.8225,6.135209,74281200
2004,1,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,6.88,7.3175,5.575,6.165,5.543946,67292400
2004,2,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,6.15,6.7925,4.815,5.9675,5.366342,104874800
2004,3,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,5.9675,6.425,4.685,6.195,5.570924,88949200
2004,4,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,6.225,8.4175,5.7325,8.3725,7.529067,135436000
2005,1,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,8.425,8.5,6.8625,7.36,6.618563,94419600
2005,2,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,7.36,7.875,6.3875,7.4375,6.688256,98960400
2005,3,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,7.475,8.93,7.095,7.265,6.533132,105373600
2005,4,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,7.3475,9.465,7.055,8.93,8.030404,120300800
2006,1,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,8.9575,9.0475,7.36,8.8625,7.969702,181511600
2006,2,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,8.975,10.135,8.465,9.855,8.862221,174088400
2006,3,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,9.8875,10.2725,8.4,9.51,8.551974,129812800
2006,4,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,9.5675,11.4625,9.375,9.875,8.880206,171176800
2007,1,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,10.0625,11.13,9.14,9.525,8.565463,112112800
2007,2,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,9.55,9.7475,6.475,6.965,6.263355,194163600
2007,3,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,7,7.2725,5.375,5.7725,5.190986,182690000
2007,4,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,5.7725,7,5.2875,6.2525,5.622631,196559600
2008,1,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,6.205,7.14,4.36,4.905,4.410877,220333600
2008,2,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,4.9975,5.75,3.835,3.835,3.448667,176192800
2008,3,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,3.78,6.17,2.525,5.0975,4.583984,290186400
2008,4,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,5.195,7.435,3.2225,7.3125,6.575849,263720000
2009,1,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,7.315,7.7375,3.4025,4.3925,3.950006,251057600
2009,2,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,4.3725,5.52,3.6325,4.565,4.105128,213164000
2009,3,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,4.5375,6.9975,4.4825,6.6975,6.022804,129055200
2009,4,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,6.6875,9.12,6.2275,8.64,7.769618,127210000
2010,1,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,8.705,10.6475,7.81,10.3075,9.269139,149098000
2010,2,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,10.3975,13.5325,9.2575,11.2375,10.105451,165232400
2010,3,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,11.3575,13.665,10.5,12.7575,11.472328,135374000
2010,4,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,12.9325,14.8975,11.215,14.1725,12.744781,92900000
2011,1,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,14.375,16.25,14.0375,15.855,14.257788,99877600
2011,2,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,15.995,17.5175,14.75,17.115,15.390858,79878000
2011,3,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,17.1675,17.6525,12.9475,14.0725,12.654853,108366400
2011,4,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,13.9175,19.285,12.775,18.772499,16.881378,116959600
2012,1,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,19.1075,19.8825,16.842501,17.91,16.10577,118220000
2012,2,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,17.875,18.309999,15.645,17.950001,16.141741,109826600
